 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:32.022  LHR OUA 0.178 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:33.022  LHR OUA 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:36.022  SVG FCO 0.287 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:43.022  SVG FCO 0.359 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:47.022  SVG FCO 0.463 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:51.022  SVG FCO 0.300 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:22:59.022  SVG FCO 0.299 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:03.023  SVG FCO 0.314 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:10.023  SVG FCO 0.312 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:14.023  SVG FCO 0.265 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:19.023  SVG FCO 0.423 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:24.023  FCO SVG 0.187 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:28.023  FCO SVG 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:32.023  FCO SVG 0.250 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:36.023  SVG IAD 0.250 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:38.023  SVG IAD 0.250 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:38.023  AMS EZE 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:38.023  AMS EZE 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:39.023  AMS EZE 0.188 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:42.023  SVG IAD 0.204 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:46.023  SVG IAD 0.252 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:50.023  SVG IAD 0.235 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:52.023  SVG IAD 0.266 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:23:55.023  SVG IAD 0.251 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:00.024  IAD SVG 0.720 >
